2012 rank,City,State[5],2012 estimate,2010 Census,Change,2010 land area,2010 population density,ANSI,Location
1,New York,New York,"8,336,697","8,175,133",1.98%,302.643æsqæmi,"27,012æperæsqæmi",2395220,"40.6643,73.9385"
,,,,,,783.842ækm2,"10,430ækm-2",,
2,Los Angeles,California,"3,857,799","3,792,621",1.72%,468.670æsqæmi,"8,092æperæsqæmi",2410877,"34.0194,118.4108"
,,,,,,"1,213.850ækm2","3,124ækm-2",,
3,Chicago,Illinois,"2,714,856","2,695,598",0.71%,227.635æsqæmi,"11,842æperæsqæmi",428803,"41.8376,87.6818"
,,,,,,589.571ækm2,"4,572ækm-2",,
4,Houston,Texas,"2,160,821","2,100,263",2.88%,599.589æsqæmi,"3,501æperæsqæmi",2410796,"29.7805,95.3863"
,,,,,,"1,552.929ækm2","1,352ækm-2",,
5,Philadelphia,Pennsylvania,"1,547,607","1,526,006",1.42%,134.101æsqæmi,"11,379æperæsqæmi",1215531,"40.0094,75.1333"
,,,,,,347.321ækm2,"4,394ækm-2",,
6,Phoenix,Arizona,"1,488,750","1,445,632",2.98%,516.704æsqæmi,"2,798æperæsqæmi",2411414,"33.5722,112.0880"
,,,,,,"1,338.256ækm2","1,080ækm-2",,
7,San Antonio,Texas,"1,382,951","1,327,407",4.18%,460.933æsqæmi,"2,880æperæsqæmi",2411774,"29.4724,98.5251"
,,,,,,"1,193.812ækm2","1,112ækm-2",,
8,San Diego,California,"1,338,348","1,307,402",2.37%,325.188æsqæmi,"4,020æperæsqæmi",2411782,"32.8153,117.1350"
,,,,,,842.233ækm2,"1,552ækm-2",,
9,Dallas,Texas,"1,241,162","1,197,816",3.62%,340.519æsqæmi,"3,518æperæsqæmi",2410288,"32.7757,96.7967"
,,,,,,881.939ækm2,"1,358ækm-2",,
10,San Jose,California,"982,765","945,942",3.89%,176.526æsqæmi,"5,359æperæsqæmi",2411790,"37.2969,121.8193"
,,,,,,457.201ækm2,"2,069ækm-2",,
11,Austin,Texas,"842,592","790,390",6.60%,297.896æsqæmi,"2,653æperæsqæmi",2409761,"30.3072,97.7560"
,,,,,,771.547ækm2,"1,024ækm-2",,
12,Jacksonville,Florida,"836,507","821,784",1.79%,747.003æsqæmi,"1,100æperæsqæmi",2404783,"30.3370,81.6613"
,,,,,,"1,934.729ækm2",425ækm-2,,
13,Indianapolis,Indiana,"834,852","820,445",1.76%,361.433æsqæmi,"2,270æperæsqæmi",2395424,"39.7767,86.1459"
,,,,,,936.108ækm2,876ækm-2,,
14,San Francisco[11],California,"825,863","805,235",2.56%,46.873æsqæmi,"17,179æperæsqæmi",2411786,"37.7751,122.4193"
,,,,,,121.400ækm2,"6,633ækm-2",,
15,Columbus,Ohio,"809,798","787,033",2.89%,217.169æsqæmi,"3,624æperæsqæmi",1086101,"39.9848,82.9850"
,,,,,,562.466ækm2,"1,399ækm-2",,
16,Fort Worth,Texas,"777,992","741,206",4.96%,339.819æsqæmi,"2,181æperæsqæmi",2410531,"32.7795,97.3463"
,,,,,,880.128ækm2,842ækm-2,,
17,Charlotte,North Carolina,"775,202","731,424",5.99%,297.678æsqæmi,"2,457æperæsqæmi",2404032,"35.2087,80.8307"
,,,,,,770.984ækm2,949ækm-2,,
18,Detroit,Michigan,"701,475","713,777",_1.72%,138.750æsqæmi,"5,144æperæsqæmi",1626181,"42.3830,83.1022"
,,,,,,359.362ækm2,"1,986ækm-2",,
19,El Paso,Texas,"672,538","649,121",3.61%,255.235æsqæmi,"2,543æperæsqæmi",2410414,"31.8484,106.4270"
,,,,,,661.057ækm2,982ækm-2,,
20,Memphis,Tennessee,"655,155","646,889",1.28%,315.055æsqæmi,"2,053æperæsqæmi",2405068,"35.1035,89.9785"
,,,,,,815.988ækm2,793ækm-2,,
21,Boston,Massachusetts,"636,479","617,594",3.06%,48.277æsqæmi,"12,793æperæsqæmi",619463,"42.3320,71.0202"
,,,,,,125.037ækm2,"4,939ækm-2",,
22,Seattle,Washington,"634,535","608,660",4.25%,83.943æsqæmi,"7,251æperæsqæmi",2411856,"47.6205,122.3509"
,,,,,,217.410ækm2,"2,800ækm-2",,
23,Denver[12],Colorado,"634,265","600,158",5.68%,153.000æsqæmi,"3,923æperæsqæmi",2410324,"39.7618,104.8806"
,,,,,,396.269ækm2,"1,515ækm-2",,
24,Washington[13],District of Columbia,"632,323","601,723",5.09%,61.048æsqæmi,"9,856æperæsqæmi",2390665,"38.9041,77.0171"
,,,,,,158.115ækm2,"3,806ækm-2",,
25,Nashville[14],Tennessee,"624,496","601,222",3.87%,475.126æsqæmi,"1,265æperæsqæmi",2405092,"36.1718,86.7850"
,,,,,,"1,230.570ækm2",489ækm-2,,
26,Baltimore[15],Maryland,"621,342","620,961",0.06%,80.944æsqæmi,"7,672æperæsqæmi",1702381,"39.3002,76.6105"
,,,,,,209.643ækm2,"2,962ækm-2",,
27,Louisville[16],Kentucky,"605,110","597,337",1.30%,325.248æsqæmi,"1,837æperæsqæmi",1967434,"38.1781,85.6667"
,,,,,,842.389ækm2,709ækm-2,,
28,Portland,Oregon,"603,106","583,776",3.31%,133.427æsqæmi,"4,375æperæsqæmi",2411471,"45.5370,122.6500"
,,,,,,345.573ækm2,"1,689ækm-2",,
29,Oklahoma City,Oklahoma,"599,199","579,999",3.31%,606.410æsqæmi,956æperæsqæmi,2411311,"35.4671,97.5137"
,,,,,,"1,570.596ækm2",369ækm-2,,
