rank,City,State,population,Location
1,New York,New York,"8,336,697","40.6643,73.9385"
,,,,
2,Los Angeles,California,"3,857,799","34.0194,118.4108"
,,,,
3,Chicago,Illinois,"2,714,856","41.8376,87.6818"
,,,,
4,Houston,Texas,"2,160,821","29.7805,95.3863"
,,,,
5,Philadelphia,Pennsylvania,"1,547,607","40.0094,75.1333"
,,,,
6,Phoenix,Arizona,"1,488,750","33.5722,112.0880"
,,,,
7,San Antonio,Texas,"1,382,951","29.4724,98.5251"
,,,,
8,San Diego,California,"1,338,348","32.8153,117.1350"
,,,,
9,Dallas,Texas,"1,241,162","32.7757,96.7967"
,,,,
10,San Jose,California,"982,765","37.2969,121.8193"
,,,,
11,Austin,Texas,"842,592","30.3072,97.7560"
,,,,
12,Jacksonville,Florida,"836,507","30.3370,81.6613"
,,,,
13,Indianapolis,Indiana,"834,852","39.7767,86.1459"
,,,,
14,San Francisco,California,"825,863","37.7751,122.4193"
,,,,
15,Columbus,Ohio,"809,798","39.9848,82.9850"
,,,,
16,Fort Worth,Texas,"777,992","32.7795,97.3463"
,,,,
17,Charlotte,North Carolina,"775,202","35.2087,80.8307"
,,,,
18,Detroit,Michigan,"701,475","42.3830,83.1022"
,,,,
19,El Paso,Texas,"672,538","31.8484,106.4270"
,,,,
20,Memphis,Tennessee,"655,155","35.1035,89.9785"
,,,,
21,Boston,Massachusetts,"636,479","42.3320,71.0202"
,,,,
22,Seattle,Washington,"634,535","47.6205,122.3509"
,,,,
23,Denver,Colorado,"634,265","39.7618,104.8806"
,,,,
24,Washington,District of Columbia,"632,323","38.9041,77.0171"
,,,,
25,Nashville,Tennessee,"624,496","36.1718,86.7850"
,,,,
26,Baltimore,Maryland,"621,342","39.3002,76.6105"
,,,,
27,Louisville,Kentucky,"605,110","38.1781,85.6667"
,,,,
28,Portland,Oregon,"603,106","45.5370,122.6500"
,,,,
29,Oklahoma City,Oklahoma,"599,199","35.4671,97.5137"
,,,,
30,Milwaukee,Wisconsin,"598,916","43.0633,87.9667"
,,,,
31,Las Vegas,Nevada,"596,424","36.2277,115.2640"
,,,,
32,Albuquerque,New Mexico,"555,417","35.1056,106.6474"
,,,,
33,Tucson,Arizona,"524,295","32.1543,110.8711"
,,,,
34,Fresno,California,"505,882","36.7827,119.7945"
,,,,
35,Sacramento,California,"475,516","38.5666,121.4686"
,,,,
36,Long Beach,California,"467,892","33.8091,118.1553"
,,,,
37,Kansas City,Missouri,"464,310","39.1252,94.5511"
,,,,
38,Mesa,Arizona,"452,084","33.4019,111.7174"
,,,,
39,Virginia Beach,Virginia,"447,021","36.7793,76.0240"
,,,,
40,Atlanta,Georgia,"443,775","33.7629,84.4227"
,,,,
41,Colorado Springs,Colorado,"431,834","38.8673,104.7607"
,,,,
42,Raleigh,North Carolina,"423,179","35.8302,78.6414"
,,,,
43,Omaha,Nebraska,"421,570","41.2647,96.0419"
,,,,
44,Miami,Florida,"413,892","25.7752,80.2086"
,,,,
45,Oakland,California,"400,740","37.7699,122.2256"
,,,,
46,Tulsa,Oklahoma,"393,987","36.1279,95.9023"
,,,,
47,Minneapolis,Minnesota,"392,880","44.9633,93.2683"
,,,,
48,Cleveland,Ohio,"390,928","41.4781,81.6795"
,,,,
49,Wichita,Kansas,"385,577","37.6907,97.3427"
,,,,
50,Arlington,Texas,"375,600","32.7007,97.1247"
,,,,
51,New Orleans,Louisiana,"369,250","30.0686,89.9390"
,,,,
52,Bakersfield,California,"358,597","35.3212,119.0183"
,,,,
53,Tampa,Florida,"347,645","27.9701,82.4797"
,,,,
54,Honolulu,Hawai'i,"345,610","21.3259,157.8453"
,,,,
55,Anaheim,California,"343,248","33.8555,117.7601"
,,,,
56,Aurora,Colorado,"339,030","32.7007,97.1247"
,,,,
57,Santa Ana,California,"330,920","33.7365,117.8826"
,,,,
58,St. Louis,Missouri,"318,172","38.6357,90.2446"
,,,,
59,Riverside,California,"313,673","33.9381,117.3932"
,,,,
60,Corpus Christi,Texas,"312,195","27.7543,97.1734"
,,,,
61,Pittsburgh,Pennsylvania,"306,211","40.4398,79.9766"
,,,,
62,Lexington,Kentucky,"310,573","38.0402,84.4584"
,,,,
63,Anchorage,Alaska,"298,610","61.1775,149.2744"
,,,,
64,Stockton,California,"297,984","37.9763,121.3133"
,,,,
65,Cincinnati,Ohio,"296,550","39.1399,84.5064"
,,,,
66,Saint Paul,Minnesota,"290,770","44.9489,93.1039"
,,,,
67,Toledo,Ohio,"284,012","41.6641,83.5819"
,,,,
68,Newark,New Jersey,"277,727","40.7242,74.1726"
,,,,
69,Greensboro,North Carolina,"277,080","36.0965,79.8271"
,,,,
70,Plano,Texas,"272,068","33.0508,96.7479"
,,,,
