GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD03_S01,HD01_S02,HD02_S02,HD03_S02,HD01_S03,HD02_S03,HD03_S03,HD01_S04,HD02_S04,HD03_S04,HD01_S05,HD02_S05,HD03_S05,HD01_S06,HD02_S06,HD03_S06,HD01_S07,HD02_S07,HD03_S07,HD01_S08,HD02_S08,HD03_S08,HD01_S09,HD02_S09,HD03_S09,HD01_S10,HD02_S10,HD03_S10,HD01_S11,HD02_S11,HD03_S11,HD01_S12,HD02_S12,HD03_S12,HD01_S13,HD02_S13,HD03_S13,HD01_S14,HD02_S14,HD03_S14,HD01_S15,HD02_S15,HD03_S15,HD01_S16,HD02_S16,HD03_S16,HD01_S17,HD02_S17,HD03_S17,HD01_S18,HD02_S18,HD03_S18,HD01_S19,HD02_S19,HD03_S19
0500000US01001,01001,"Autauga County, Alabama",61,67,79,1,4,4,0,0,0,0,0,0,2,2,2,66,67,96,82,83,156,0,0,0,0,0,0,41,41,85,123,124,172,10,10,12,0,0,0,1,2,2,5,5,8,0,0,0,1,1,1,12,14,26,51,53,63
0500000US01003,01003,"Baldwin County, Alabama",242,244,296,6,6,6,0,0,0,3,3,3,40,41,44,288,301,334,236,238,411,0,0,1,13,14,22,61,68,141,83,84,150,3,3,9,5,7,7,1,1,1,14,14,16,0,0,0,15,15,15,91,99,122,160,170,190
0500000US01005,01005,"Barbour County, Alabama",34,34,38,1,1,3,0,0,0,0,0,0,0,0,0,11,12,14,7,7,8,0,0,0,0,0,1,2,2,5,15,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,4,26,26,26
0500000US01007,01007,"Bibb County, Alabama",8,8,11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,15,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,1,1,2,1,1,2
0500000US01009,01009,"Blount County, Alabama",25,25,38,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,33,34,61,0,0,0,0,0,2,1,1,8,8,8,18,0,0,3,0,1,1,0,0,0,4,4,4,0,0,0,3,3,7,1,1,4,9,9,31
0500000US01011,01011,"Bullock County, Alabama",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,11,11,19,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0500000US01013,01013,"Butler County, Alabama",44,44,51,0,0,0,0,0,0,0,0,0,0,0,0,11,11,12,6,6,16,0,0,0,0,0,0,0,0,0,109,109,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0500000US01015,01015,"Calhoun County, Alabama",179,188,231,3,3,3,0,0,0,0,0,1,2,2,2,106,113,127,123,125,206,0,0,0,7,7,12,57,60,102,165,169,292,1,1,1,1,1,2,5,5,5,28,34,36,0,0,0,2,2,2,32,34,46,88,93,106
0500000US01017,01017,"Chambers County, Alabama",41,41,46,0,0,0,0,0,0,0,0,0,1,1,1,15,15,18,22,22,36,0,0,0,0,0,1,8,8,11,66,66,75,1,1,1,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,1,1,6,2,2,3
0500000US01019,01019,"Cherokee County, Alabama",14,14,19,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,20,20,27,0,0,0,0,0,0,3,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1
