State,County,Violent,Murder,"Forcible rape",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson
ALABAMA,Autauga,81,0,9,5,67,512,186,291,35,
ALABAMA,Baldwin,130,3,9,27,91,870,317,496,57,
ALABAMA,Bibb,18,0,4,0,14,155,73,65,17,
ALABAMA,Blount,79,1,8,6,64,959,329,573,57,
ALABAMA,Calhoun,22,0,8,3,11,791,322,468,1,
ALABAMA,Chilton,78,0,6,5,67,599,234,315,50,
ALABAMA,Colbert,36,1,5,1,29,339,141,171,27,
ALABAMA,Elmore,52,3,13,10,26,812,339,428,45,
ALABAMA,Etowah,109,1,9,2,97,598,226,324,48,
ALABAMA,Geneva,25,0,4,1,20,196,61,124,11,
ALABAMA,Hale,16,0,2,1,13,97,50,34,13,
ALABAMA,Henry,28,2,3,1,22,130,66,55,9,
ALABAMA,Houston,92,2,12,9,69,625,177,403,45,
ALABAMA,Jefferson,676,4,49,196,427,3670,2035,1550,85,
ALABAMA,Lawrence,83,0,4,3,76,479,169,273,37,
ALABAMA,Limestone,79,3,0,4,72,544,185,331,28,
ALABAMA,Lowndes,37,1,3,6,27,198,92,88,18,
ALABAMA,Madison,286,4,30,45,207,2185,795,1232,158,
ALABAMA,Mobile,231,6,23,30,172,2356,801,1386,169,
ALABAMA,Montgomery,67,0,4,6,57,552,226,260,66,
ALABAMA,Pickens,10,0,0,0,10,47,21,24,2,
ALABAMA,Shelby,133,4,21,19,89,1270,297,888,85,
ALABAMA,Tuscaloosa,228,4,12,32,180,1541,449,981,111,
ALABAMA,Walker,99,0,5,7,87,935,370,495,70,
ALABAMA,Barbour,21,0,1,2,18,87,33,48,6,
ALABAMA,Butler,46,3,4,3,36,252,117,119,16,
ALABAMA,Chambers,6,0,0,1,5,89,33,54,2,
ALABAMA,Cherokee,63,0,2,1,60,501,196,255,50,
ALABAMA,Choctaw,5,0,0,0,5,42,25,15,2,
ALABAMA,Clarke,36,0,9,3,24,119,47,63,9,
ALABAMA,Clay,20,0,0,0,20,43,14,24,5,
ALABAMA,Coffee,24,0,1,0,23,161,79,70,12,
ALABAMA,Conecuh,34,1,1,4,28,153,48,87,18,
ALABAMA,Coosa,21,0,2,2,17,224,74,138,12,
ALABAMA,Covington,40,1,8,1,30,328,134,173,21,
ALABAMA,Crenshaw,45,1,1,2,41,151,66,68,17,
ALABAMA,Cullman,146,1,9,3,133,1165,359,739,67,
ALABAMA,Dale,61,0,4,5,52,162,42,110,10,
ALABAMA,Dallas,74,4,3,9,58,538,204,298,36,
ALABAMA,De Kalb,211,0,13,4,194,937,390,471,76,
ALABAMA,Escambia,55,2,3,1,49,354,117,216,21,
ALABAMA,Fayette,26,1,8,1,16,82,27,42,13,
ALABAMA,Franklin,71,0,5,3,63,286,98,180,8,
ALABAMA,Jackson,107,0,9,1,97,707,306,337,64,
ALABAMA,Macon,39,1,1,2,35,323,167,119,37,
ALABAMA,Marengo,42,3,2,0,37,170,80,76,14,
ALABAMA,Marion,33,1,4,2,26,207,86,103,18,
ALABAMA,Marshall,62,1,10,5,46,708,315,357,36,
ALABAMA,Monroe,23,0,0,1,22,120,59,55,6,
ALABAMA,Pike,18,1,0,1,16,144,50,82,12,
